Field,Kind,N,Exact %,Consensus n,Consensus %,Adjudicated n,Adjudicated %,kappa,Mean Jaccard,Micro F1,Macro per-label kappa,kappa_qw,Adjacent %,Lower,Higher,Sign p
Date,Free text / narrative,30,90.0,30,90.0,0,,,,,,,,,,
Entity,Free text / narrative,30,30.0,20,45.0,10,0.0,,,,,,,,,
System Type,Controlled,30,90.0,26,92.3,4,75.0,0.869,,,,,,,,
Title,Free text / narrative,30,0.0,24,0.0,6,0.0,,,,,,,,,
Industry,Controlled,30,90.0,22,100.0,8,62.5,0.883,,,,,,,,
Application Domain,Free text / narrative,30,0.0,30,0.0,0,,,,,,,,,,
Failure Category,Controlled,30,90.0,30,90.0,0,,0.854,,,,,,,,
Failure Mode(s),Multi-label,30,70.0,25,84.0,5,0.0,,73.3,0.742,0.666,,,,,
Manifestation Pattern,Controlled,30,93.3,29,93.1,1,100.0,0.921,,,,,,,,
Manifestation — Brief Description,Free text / narrative,30,0.0,0,,30,0.0,,,,,,,,,
Propagation Reach,Controlled,30,86.7,20,95.0,10,70.0,0.757,,,,0.76,96.7,3.0,1.0,0.625
Boundary Transfer,Controlled,30,100.0,30,100.0,0,,,,,,,,,,
Transfer Mode,Controlled,30,93.3,29,96.6,1,0.0,0.464,,,,,,,,
Amplification,Controlled,30,93.3,25,96.0,5,80.0,0.63,,,,,,,,
Propagation Chain,Free text / narrative,30,0.0,23,0.0,7,0.0,,,,,,,,,
Detection Timing,Controlled,30,73.3,23,69.6,7,85.7,0.613,,,,,,,,
Detector,Controlled,30,56.7,23,60.9,7,42.9,0.444,,,,,,,,
Detection Signal,Controlled,30,60.0,16,81.2,14,35.7,0.434,,,,,,,,
Impact Dimension(s),Multi-label,30,26.7,7,28.6,23,26.1,,61.9,0.738,0.625,,,,,
Risk Assessment,Controlled,30,90.0,25,92.0,5,80.0,0.835,,,,0.916,100.0,2.0,1.0,1.0
Risk Domain,Controlled,30,86.7,25,92.0,5,60.0,0.831,,,,,,,,
Risk Subdomain,Free text / narrative,30,3.3,13,0.0,17,5.9,,,,,,,,,
Recovery Complexity,Controlled,30,80.0,27,77.8,3,100.0,0.731,,,,0.828,93.3,5.0,1.0,0.219
Recovery Evidence Status,Controlled,30,76.7,24,83.3,6,50.0,0.444,,,,,,,,
Recovery / Maintenance Action(s),Multi-label,30,13.3,1,100.0,29,10.3,,32.9,0.427,0.274,,,,,
Causal Location(s),Multi-label,30,46.7,10,90.0,20,25.0,,71.1,0.759,0.578,,,,,
Causal Mechanism,Free text / narrative,30,0.0,0,,30,0.0,,,,,,,,,
Missing Safeguard,Free text / narrative,30,0.0,0,,30,0.0,,,,,,,,,
Root Cause Description,Free text / narrative,30,0.0,0,,30,0.0,,,,,,,,,
Lifecycle Phase,Controlled,30,100.0,30,100.0,0,,,,,,,,,,
Temporal Pattern,Controlled,30,66.7,21,71.4,9,55.6,0.476,,,,,,,,
Timing / Period,Free text / narrative,30,0.0,20,0.0,10,0.0,,,,,,,,,
