field,type,n_paired,annotator_c_ie_na,annotator_d_ie_na,annotator_c_blank,annotator_d_blank,exact_agreement,cohen_kappa,quadratic_weighted_kappa,n_ordinal_pairs,mean_jaccard,mean_set_f1,macro_labelwise_kappa,n_labelwise_kappas
System Type,nominal,45,0,0,0,0,1.0,1.0,,,,,,
Industry,nominal,45,0,0,0,0,0.8666666666666667,0.843205574912892,,,,,,
Failure Category,nominal,45,0,0,0,0,0.9555555555555556,0.9248747913188651,,,,,,
Manifestation Pattern,nominal,45,0,0,0,0,0.9333333333333333,0.9156777014366021,,,,,,
Boundary Transfer,nominal,45,0,0,0,0,1.0,1.0,,,,,,
Transfer Mode,nominal,45,0,0,0,0,1.0,1.0,,,,,,
Amplification,nominal,45,0,0,0,0,0.9555555555555556,0.7256097560975613,,,,,,
Detection Timing,nominal,45,0,0,0,0,0.8,0.6672144617912902,,,,,,
Detector,nominal,45,1,0,0,0,0.7555555555555555,0.6771037181996086,,,,,,
Detection Signal,nominal,45,1,0,0,0,0.6888888888888889,0.5447976878612717,,,,,,
Risk Domain,nominal,45,0,0,0,0,0.8222222222222222,0.7873597164796219,,,,,,
Recovery Evidence Status,nominal,45,28,1,0,0,0.37777777777777777,0.1984732824427481,,,,,,
Lifecycle Phase,nominal,45,0,0,0,0,0.9777777777777777,0.7887323943661968,,,,,,
Temporal Pattern,nominal,45,0,0,0,0,0.8444444444444444,0.7613636363636362,,,,,,
Propagation Reach,ordinal,45,0,0,0,0,0.8,0.6294602012808784,0.7036223929747529,45,,,,
Risk Assessment,ordinal,45,0,0,0,0,0.9111111111111111,0.8285714285714285,0.9254349627174814,45,,,,
Recovery Complexity,ordinal,45,28,1,0,0,0.2222222222222222,0.07678780773739739,0.5612903225806452,17,,,,
Failure Mode(s),multilabel,45,0,0,0,0,0.8888888888888888,,,,0.8888888888888888,0.8888888888888888,0.8239888799010207,11
Impact Dimension(s),multilabel,45,0,0,0,0,0.6222222222222222,,,,0.8333333333333334,0.8918518518518519,0.8612668710893469,11
Recovery / Maintenance Action(s),multilabel,45,28,1,0,0,0.022222222222222223,,,,0.20555555555555555,0.2637037037037037,0.1914966406001939,13
Causal Location(s),multilabel,45,1,1,0,0,0.5555555555555556,,,,0.7722222222222223,0.8377777777777777,0.6040926672712836,7
